,date,nums,increment,ratio
0,2018-04,66,18,0.375
1,2018-03,48,17,0.548387096774
2,2018-02,31,-27,-0.465517241379
3,2018-01,58,25,0.757575757576
4,2017-12,33,-12,-0.266666666667
5,2017-11,45,21,0.875
6,2017-10,24,0,0.0
7,2017-09,24,-17,-0.414634146341
8,2017-08,41,-9,-0.18
9,2017-07,50,18,0.5625
10,2017-06,32,-28,-0.466666666667
11,2017-05,60,11,0.224489795918
12,2017-04,49,4,0.0888888888889
13,2017-03,45,-10,-0.181818181818
14,2017-02,55,14,0.341463414634
15,2017-01,41,-38,-0.481012658228
16,2016-12,79,20,0.338983050847
17,2016-11,59,12,0.255319148936
18,2016-10,47,20,0.740740740741
19,2016-09,27,-24,-0.470588235294
20,2016-08,51,32,1.68421052632
21,2016-07,19,-5,-0.208333333333
22,2016-06,24,-28,-0.538461538462
23,2016-05,52,-15,-0.223880597015
24,2016-04,67,35,1.09375
25,2016-03,32,-5,-0.135135135135
26,2016-02,37,-52,-0.584269662921
27,2016-01,89,-64,-0.418300653595
28,2015-12,153,23,0.176923076923
29,2015-11,130,16,0.140350877193
30,2015-10,114,-22,-0.161764705882
31,2015-09,136,18,0.152542372881
32,2015-08,118,16,0.156862745098
33,2015-07,102,-108,-0.514285714286
34,2015-06,210,91,0.764705882353
35,2015-05,119,39,0.4875
36,2015-04,80,34,0.739130434783
37,2015-03,46,23,1.0
38,2015-02,23,17,2.83333333333
39,2015-01,6,-8,-0.571428571429
40,2014-12,14,-2,-0.125
41,2014-11,16,5,0.454545454545
42,2014-10,11,2,0.222222222222
43,2014-09,9,8,8.0
44,2014-08,1,-1,-0.5
45,2014-07,2,1,1.0
46,2014-06,1,-1,-0.5
47,2014-04,2,0,0.0
48,2014-03,2,1,1.0
49,2014-02,1,-1,-0.5
50,2013-09,2,1,1.0
51,2013-08,1,0,0.0
